Date,WU_SFH_Num,WU_SFH_Gal,WU_MFH_Num,WU_MFH_Gal,WU_Com_Num,WU_Com_Gal,WU_Ind_Num,WU_Ind_Gal,CL_Days_GT001Prec,CL_Days_GT010Prec,CL_Days_MinLT32Temp,CL_Days_MaxGT90Temp,CL_Days_MinLT0Temp,CL_Days_MaxLT32Temp,CL_Dep_AveTemp,CL_Dep_MaxTemp,CL_Dep_MinTemp,CL_Dep_Prec,CL_GR_Prec,CL_MAX_SLPress,CL_MaxTemp,CL_MeanTemp,CL_MinSLPress,CL_MinTemp,CL_SLPress,CL_StaPress,CL_Tot_Prec,CL_Tot_Snowfall,CL_ShortDur_005Prec,CL_ShortDur_060Prec,CL_ShortDur_180Prec,EC_Mdol_Imports_N,EC_NPer_Unemp_N,EC_NPer_Emp_N,EC_Perc_LaborPartic_S,EC_N1UnitHU_Permit_S,EC_NTotHU_Permit_S,EC_TPer_Const_N,EC_TPer_EducHealth_N,EC_TPer_Fin_N,EC_TPer_Mfg_N,EC_TPer_NonFarm_N,EC_CoincEconActInd_S,EC_Perc_Unemp_N,EC_Tper_3MoCh_NonFarm_S,EC_TPer_TotPri_S,EC_Tper_3MoCh_TotPri_S,EC_TPer_TranUtil_S,EC_TPer_LeisHosp_S,EC_TPer_StateGov_S,EC_TPer_TotPri_N,EC_TPer_TranUtil_N,EC_TPer_LeisHosp_N,EC_TPer_StateGov_N
6/1/2015,45402,361006971,18930,194076447,4306,139849528,43,11610650,9,6,0,0,0,0,-1.6,-2.5,-0.7,1.71,2.07,30.33,75,66.4,29.63,57.7,29.98,29.91,5.35,0,0.16,0.73,1.29,736.627185,32521,526009,65,92.7850044,103.0519511,17.8,103.3,35.1,41.4,494.3,111.66,5.8,1.3,425.1,1.3,11.4,8.8,19.8,431.5,11.6,10.3,18.3
7/1/2015,45365,341099070,18894,191830008,4295,153397918,44,10801501,10,5,0,2,0,0,1,0.7,1.4,-0.95,0.7,30.18,83.5,74.5,29.55,65.6,29.89,29.83,2.34,0,0,0,0,709.859334,34457,525266,64.8,66.70991346,73.99018357,18.3,102.6,34.9,40.8,490.7,112.08,6.2,0.8,426,0.9,11.4,8.8,19.6,431.1,10.8,10.7,18.1
8/1/2015,45366,398741791,18898,197368110,4295,163231193,42,11407554,4,3,0,6,0,0,2.6,3.1,2.2,-0.82,1.08,30.21,84.5,74.9,29.72,65.4,29.98,29.91,2.78,0,0,0,0,720.398569,33192,522791,64.7,74.55177344,67.85026363,18.3,101.7,34.8,41.2,489.1,112.47,6,-0.3,425.4,-0.1,11.5,8.7,19.7,429.9,10.8,10.6,18.2
9/1/2015,45379,408059746,18899,213368489,4293,176826983,42,11051730,6,3,0,3,0,0,4.4,5.6,3,-0.73,2.07,30.52,79.8,69.1,29.67,58.3,30.08,30.01,3.19,0,0.16,0.57,1.12,751.946493,28947,521854,64.6,81.32891367,98.348144,18.2,106.1,35.1,41.1,496.7,112.9,5.3,0.5,426.8,0.6,11.5,9,19.7,432,11.8,9.7,20.4
10/1/2015,45378,311572571,18887,186686715,4317,157902441,42,10643344,8,5,3,0,0,0,0.1,-0.3,0.5,-1.13,1.49,30.61,63,53.7,29.49,44.4,30.09,30.02,2.8,0,0.14,0.35,0.49,728.147795,28856,524061,64.5,69.75773535,75.51416289,18.3,108.2,35.7,41.2,497.8,113.13,5.2,0.6,427.7,0.6,11.6,9,19.7,432.9,11.8,9.3,20.2
11/1/2015,45395,216222393,18926,188281070,4286,141798928,43,11411107,7,6,6,0,0,0,3.2,3.6,3,-1.89,1.67,30.86,56.8,47.7,29.45,38.7,30.17,30.11,2.62,0,0.18,0.86,1.14,677.088045,30887,524066,64.5,84.48955027,93.85328741,18.3,108.5,36.1,41.4,498,113.58,5.6,1.1,428.4,1,11.5,9.1,19.7,432.9,11.9,8.4,20.1
12/1/2015,45402,203527030,18946,181140026,4261,117487903,44,9765596,13,10,11,0,0,0,11.7,11.8,11.6,0.58,1.77,30.65,54.1,46,29.27,37.9,30.09,30.03,4.8,0.6,0.13,0.61,0.93,784.951006,29729,524651,64.5,66.91313559,74.90631846,17.9,107.9,36.2,41.4,497.2,113.8,5.4,0.9,429,0.7,11.5,9.2,19.7,431.9,12.4,8.3,20.1
1/1/2016,38721,170445354,16828,160683438,3690,94536369,39,10560571,6,5,27,0,0,5,3,3.2,2.7,-0.83,1.41,30.59,40.6,32.2,29.28,23.7,29.96,29.89,3.03,7.3,0.11,0.35,0.83,438.624813,34224,514619,64.5,75.48645857,81.55067743,16,104.2,35.3,40.5,479.1,113.96,6.2,0,427.7,0,11.4,9.2,19.7,414.3,11.3,7.5,20.1
2/1/2016,36219,140339251,18440,156613861,3878,113943925,36,3174370,11,8,21,0,3,6,1.8,3.2,0.5,2.03,1.48,30.62,43.5,33.8,29.15,24.1,30,29.92,5.32,11.5,0,0,0,553.634754,33886,517867,64.5,68.20100221,74.45059664,15.5,107.1,35.5,40.5,482.1,114.4,6.1,0.2,428.7,0.1,11.5,9.3,19.8,417.1,11.2,7.6,20.2
3/1/2016,45493,193988938,18959,181683822,4265,121946627,44,10586354,10,5,14,0,0,1,5,5.4,4.6,-2.33,1.58,30.45,53.2,43.9,29.43,34.6,30.02,29.95,2.68,2.6,0.03,0.25,0.56,822.64635,31835,519627,64.5,80.74519495,88.33574542,16.1,108,35.6,40.6,485.9,114.82,5.8,0.4,430,0.3,11.4,9.4,19.9,420.6,11.2,7.9,20.3
4/1/2016,45489,195943701,18956,175203075,4263,114738757,45,10844295,11,7,6,0,0,1,-1.3,-1.2,-1.5,-0.45,1.44,30.45,57.4,47.8,29.15,38.1,30.03,29.96,3.91,6.7,0.07,0.38,0.84,662.723591,27851,521930,64.5,68.27965811,82.50202365,17.6,108.4,35.5,40.5,493.1,114.96,5.1,0.5,429,0.4,11.4,9.4,19.9,428,11.3,8.9,20.4
5/1/2016,45489,195943701,19060,167433883,4299,118828223,47,9821195,13,8,0,1,0,0,0.9,1,0.8,-0.37,1.5,30.27,69.4,59.4,29.54,49.4,29.97,29.9,3.18,0,0.15,0.79,1.22,792.476274,27666,521195,64.5,73.60318974,92.9639233,18.5,108.2,35.5,40.5,497.9,115.12,5,-0.1,428.7,0,11.5,9.3,19.7,432.4,11.6,9.6,20.4
6/1/2016,45429,306670261,18916,194375564,4264,166654198,43,12879124,7,3,0,0,0,0,0.8,1.4,0.3,-2.59,0.58,30.35,78.9,68.8,29.39,58.7,29.92,29.85,1.05,0,0.12,0.43,0.46,660.811558,28211,527984,64.5,70.13224757,77.81987181,18.9,103.1,35.8,40.8,498.6,115.51,5.1,-0.4,429.1,-0.3,11.5,9.2,19.8,435.6,11.8,10.8,18.4
